"","hostelName","hostelLink","minPrice","location"
"119","Hiromas Hostel in Akiba","https://www.hostelworld.com/hosteldetails.php/Hiromas-Hostel-in-Akiba/Tokyo/283389","CA$22.76","             7.3km from city centre          "
"120","bnb+TripCommunityTokyo","https://www.hostelworld.com/hosteldetails.php/bnbTripCommunityTokyo/Tokyo/282618","CA$23.96","             5.8km from city centre          "
"121","&And Hostel Ueno","https://www.hostelworld.com/hosteldetails.php/-and-And-Hostel-Ueno/Tokyo/278139","CA$31.63","             8.7km from city centre          "
"122","Asakusahotel Wasou","https://www.hostelworld.com/hosteldetails.php/Asakusahotel-Wasou/Tokyo/271945","CA$23.96","             9.9km from city centre          "
"123","YADOYA Guesthouse Orange","https://www.hostelworld.com/hosteldetails.php/YADOYA-Guesthouse-Orange/Tokyo/93939","CA$23.96","             2.9km from city centre          "
"124","Capsule Value Kanda","https://www.hostelworld.com/hosteldetails.php/Capsule-Value-Kanda/Tokyo/66487","CA$35.94","             7.1km from city centre          "
"125","J's Backpackers","https://www.hostelworld.com/hosteldetails.php/J-s-Backpackers/Tokyo/93709","CA$23.96","             16.6km from city centre          "
"126","With B","https://www.hostelworld.com/hosteldetails.php/With-B/Tokyo/285883","CA$41.33","             8.6km from city centre          "
"127","Edo Tokyo Hostel","https://www.hostelworld.com/hosteldetails.php/Edo-Tokyo-Hostel/Tokyo/272412","CA$21.56","             15.8km from city centre          "
"128","Capsule Hotel Anshin Oyado Akihabara","https://www.hostelworld.com/hosteldetails.php/Capsule-Hotel-Anshin-Oyado-Akihabara/Tokyo/281075","CA$74.15","             7.2km from city centre          "
"129","Capsule Hotel Anshin Oyado Ogikubo","https://www.hostelworld.com/hosteldetails.php/Capsule-Hotel-Anshin-Oyado-Ogikubo/Tokyo/270313","CA$75.23","             7km from city centre          "
"130","Capsule Hotel Anshin Oyado Shinbashi","https://www.hostelworld.com/hosteldetails.php/Capsule-Hotel-Anshin-Oyado-Shinbashi/Tokyo/281072","CA$80.86","             6.6km from city centre          "
"131","Guesthouse Kagaribi","https://www.hostelworld.com/hosteldetails.php/Guesthouse-Kagaribi/Tokyo/273011","CA$26.36","             11.8km from city centre          "
"132","Hiromas Hostel in Ueno","https://www.hostelworld.com/hosteldetails.php/Hiromas-Hostel-in-Ueno/Tokyo/286076","CA$23.96","             8.7km from city centre          "
"133","Capsule Hotel Anshin Oyado Shinbashi Shiodome","https://www.hostelworld.com/hosteldetails.php/Capsule-Hotel-Anshin-Oyado-Shinbashi-Shiodome/Tokyo/281076","CA$82.06","             6.6km from city centre          "
"134","Hisayo's Inn","https://www.hostelworld.com/hosteldetails.php/Hisayo-s-Inn/Tokyo/283587","CA$11979.64","             15.7km from city centre          "
"135","Shibamata FU-TEN Bed and Local","https://www.hostelworld.com/hosteldetails.php/Shibamata-FU-TEN-Bed-and-Local/Tokyo/276190","CA$35.94","             18.5km from city centre          "
"136","Tokyo House Inn","https://www.hostelworld.com/hosteldetails.php/Tokyo-House-Inn/Tokyo/272913","CA$45.52","             1.5km from city centre          "
"137","bnb+ Costeln Akiba(Female only)","https://www.hostelworld.com/hosteldetails.php/bnb-Costeln-Akiba-Female-only/Tokyo/282620","CA$23.96","             7.8km from city centre          "
"138","Oak Hotel Edo","https://www.hostelworld.com/hosteldetails.php/Oak-Hotel-Edo/Tokyo/272749","CA$26.36","             9.7km from city centre          "
"139","Japan Hostel Shinya Tokkyu","https://www.hostelworld.com/hosteldetails.php/Japan-Hostel-Shinya-Tokkyu/Tokyo/291182","CA$38.33","             13.9km from city centre          "
"140","Tokyo Hutte","https://www.hostelworld.com/hosteldetails.php/Tokyo-Hutte/Tokyo/266636","CA$35.94","             11.3km from city centre          "
"141","Asakusa Central Hotel","https://www.hostelworld.com/hosteldetails.php/Asakusa-Central-Hotel/Tokyo/12220","CA$77.87","             9.6km from city centre          "
"142","Japanize Guest House","https://www.hostelworld.com/hosteldetails.php/Japanize-Guest-House/Tokyo/273068","CA$22.76","             8.1km from city centre          "
"143","Hotel Boston Club","https://www.hostelworld.com/hosteldetails.php/Hotel-Boston-Club/Tokyo/96427","CA$59.30","             9.3km from city centre          "
"144","Hoshi Kai Kan","https://www.hostelworld.com/hosteldetails.php/Hoshi-Kai-Kan/Tokyo/54783","CA$37.14","             8.3km from city centre          "
"145","Tamanoi Hostel 201/301","https://www.hostelworld.com/hosteldetails.php/Tamanoi-Hostel-201-301/Tokyo/281335","CA$167.72","             12.4km from city centre          "
"146","bnb+ Ninja Dojo Ueno","https://www.hostelworld.com/hosteldetails.php/bnb-Ninja-Dojo-Ueno/Tokyo/282676","CA$11979.64","             8km from city centre          "
"147","Grids Kyoto Shijo Kawaramachi Hotel & Hostel","https://www.hostelworld.com/hosteldetails.php/Grids-Kyoto-Shijo-Kawaramachi-Hotel-and-Hostel/Kyoto/286327","CA$27.16","             0.8km from city centre          "
"148","Friends Kyo","https://www.hostelworld.com/hosteldetails.php/Friends-Kyo/Kyoto/278444","CA$35.94","             1.2km from city centre          "
"149","Kyoto Morris Hostel","https://www.hostelworld.com/hosteldetails.php/Kyoto-Morris-Hostel/Kyoto/276834","CA$33.54","             0.5km from city centre          "
"150","Len Kyoto","https://www.hostelworld.com/hosteldetails.php/Len-Kyoto/Kyoto/93521","CA$29.95","             1.4km from city centre          "
"151","Backpackers Hostel K's House Kyoto","https://www.hostelworld.com/hosteldetails.php/Backpackers-Hostel-K-s-House-Kyoto/Kyoto/5536","CA$21.56","             2.4km from city centre          "
"152","Mosaic Hostel Kyoto","https://www.hostelworld.com/hosteldetails.php/Mosaic-Hostel-Kyoto/Kyoto/270044","CA$29.95","             3.7km from city centre          "
"153","The Millennials Kyoto","https://www.hostelworld.com/hosteldetails.php/The-Millennials-Kyoto/Kyoto/280003","CA$53.91","             0.5km from city centre          "
"154","Ryokan Hostel Gion","https://www.hostelworld.com/hosteldetails.php/Ryokan-Hostel-Gion/Kyoto/292201","CA$35.94","             0.8km from city centre          "
"155","Hostel Ebi","https://www.hostelworld.com/hosteldetails.php/Hostel-Ebi/Kyoto/267244","CA$29.95","             1km from city centre          "
"156","Bird Hostel","https://www.hostelworld.com/hosteldetails.php/Bird-Hostel/Kyoto/272216","CA$32.35","             1.1km from city centre          "
"157","Piece Hostel Sanjo","https://www.hostelworld.com/hosteldetails.php/Piece-Hostel-Sanjo/Kyoto/94563","CA$34.74","             0.5km from city centre          "
"158","Downtown Inn Kyoto","https://www.hostelworld.com/hosteldetails.php/Downtown-Inn-Kyoto/Kyoto/285591","CA$12.10","             1.4km from city centre          "
"159","Imano Kyoto Kiyomizu Hostel","https://www.hostelworld.com/hosteldetails.php/Imano-Kyoto-Kiyomizu-Hostel/Kyoto/280270","CA$25.55","             1.9km from city centre          "
"160","Centurion Cabin & Spa Kyoto","https://www.hostelworld.com/hosteldetails.php/Centurion-Cabin-and-Spa-Kyoto/Kyoto/267524","CA$29.95","             1.1km from city centre          "
"161","Khaosan Kyoto Guest House","https://www.hostelworld.com/hosteldetails.php/Khaosan-Kyoto-Guest-House/Kyoto/45698","CA$23.96","             1.1km from city centre          "
