"","Name","Link","OverallRating","StartingPrice","DistanceFromCityCentre"
"90","Top  Edge Hostel Koenji","https://www.hostelworld.com/hosteldetails.php/Top-Edge-Hostel-Koenji/Tokyo/294355",9.2,"CA$31.13","4.2km from city centre  - Show on Map"
"91","The Micro Museum Hostel","https://www.hostelworld.com/hosteldetails.php/The-Micro-Museum-Hostel/Tokyo/294856",0,"CA$29.93","8.9km from city centre  - Show on Map"
"92","bnb+Asakusa Hostel","https://www.hostelworld.com/hosteldetails.php/bnbAsakusa-Hostel/Tokyo/293758",0,"CA$23.95","9.1km from city centre  - Show on Map"
"93","Seven Garden","https://www.hostelworld.com/hosteldetails.php/Seven-Garden/Tokyo/291531",7.4,"CA$40.71","9.9km from city centre  - Show on Map"
"94","bnb+Secret Base Mejiro","https://www.hostelworld.com/hosteldetails.php/bnbSecret-Base-Mejiro/Tokyo/293751",0,"CA$23.95","3.8km from city centre  - Show on Map"
"95","Comfybed Azabujuban","https://www.hostelworld.com/hosteldetails.php/Comfybed-Azabujuban/Tokyo/293813",0,"CA$53.88","5.8km from city centre  - Show on Map"
"96","Capsule Inn Kinshichou","https://www.hostelworld.com/hosteldetails.php/Capsule-Inn-Kinshichou/Tokyo/37256",8,"CA$31.49","10.9km from city centre  - Show on Map"
"97","Hostel Kura","https://www.hostelworld.com/hosteldetails.php/Hostel-Kura/Tokyo/290681",8,"CA$28.74","8.8km from city centre  - Show on Map"
"98","Beagle Tokyo Hostel & Apartments","https://www.hostelworld.com/hosteldetails.php/Beagle-Tokyo-Hostel-and-Apartments/Tokyo/281987",9.3,"CA$47.89","16.1km from city centre  - Show on Map"
"99","Oakhostel Sakura","https://www.hostelworld.com/hosteldetails.php/Oakhostel-Sakura/Tokyo/278014",9,"CA$21.55","11.3km from city centre  - Show on Map"
"100","TOKYO-W-INN Asakusa","https://www.hostelworld.com/hosteldetails.php/TOKYO-W-INN-Asakusa/Tokyo/281822",9,"CA$21.67","9.3km from city centre  - Show on Map"
"101","&And Hostel Asakusa Station","https://www.hostelworld.com/hosteldetails.php/-and-And-Hostel-Asakusa-Station/Tokyo/289672",8.9,"CA$37.72","9.3km from city centre  - Show on Map"
"102","Khaosan Tokyo Laboratory","https://www.hostelworld.com/hosteldetails.php/Khaosan-Tokyo-Laboratory/Tokyo/74311",8,"CA$31.13","9.3km from city centre  - Show on Map"
"103","Centurion Ladies Hostel Uenopark (Female only)","https://www.hostelworld.com/hosteldetails.php/Centurion-Ladies-Hostel-Uenopark-Female-only/Tokyo/274804",8.9,"CA$29.93","7.4km from city centre  - Show on Map"
"104","bnb+ Ikebana Okina Yotsuya","https://www.hostelworld.com/hosteldetails.php/bnb-Ikebana-Okina-Yotsuya/Tokyo/282675",9.2,"CA$11973.58","2.6km from city centre  - Show on Map"
"105","Juyoh Hotel","https://www.hostelworld.com/hosteldetails.php/Juyoh-Hotel/Tokyo/76168",9,"CA$34.72","10.7km from city centre  - Show on Map"
"106","Guesthouse Sensu","https://www.hostelworld.com/hosteldetails.php/Guesthouse-Sensu/Tokyo/275113",9.6,"CA$39.51","15.7km from city centre  - Show on Map"
"107","Guest House Denchi","https://www.hostelworld.com/hosteldetails.php/Guest-House-Denchi/Tokyo/277899",9.9,"CA$43.10","9.2km from city centre  - Show on Map"
"108","The Wardrobe Hostel Roppongi","https://www.hostelworld.com/hosteldetails.php/The-Wardrobe-Hostel-Roppongi/Tokyo/290768",7.6,"CA$57.47","4.7km from city centre  - Show on Map"
"109","&And Hostel-Asakusa North-","https://www.hostelworld.com/hosteldetails.php/-and-And-Hostel-Asakusa-North-/Tokyo/276202",7.1,"CA$17.96","10.5km from city centre  - Show on Map"
